"Just another day of me in this dusty old stand.
 The customers start flowing in.In the crowd, a person catches my eye. a woman with upturned eyes, plump lips, and freckles apears.She looks like one of those people who have a ""smiling face"". Customer no.1: ""Hello today! you sell Splorgs right? can I have one?
 me: oh sure..
customer: yay, thank you! i shall reward you with one of my sheep!
","You're welcome! *she walks away.*
","Well guess what! *the customer started to grow in size, their teeth sharpen they transform into a purple snake like figure, i freeze, sweat dripping down my neck. the grue opens its mouth as you chench your fists as hard as you can as you meet your demise.
too bad!
",BRIDGE_AND_CONTINUE
"The Pharaoh, aka My Human, returns from battle smelling like sweat and horse. Gross. You sit there, licking your paw, pretending not to notice their triumphant return, because honestly, what's the big deal? You’ve seen birds fight more impressively in the courtyard.
Your Human calls out your name, expecting you to rush over like some common dog. Pfft. They should know better. You are royalty, after all. A divine creature worshipped by many. And yet, they haven’t refilled your water bowl today. Priorities, humans.
","You saunter off, your tail high in the air, not caring one bit that your Human is calling after you. They should know by now that you don’t come when summoned. Who do they think you are? A dog? The audacity.
You make your way to your favorite sunny spot near the window, ignoring the faint sound of your Human grumbling about your disloyalty. Disloyalty? Please. You’re a cat. Loyalty is a myth, and humans are too easily fooled by a simple head nuzzle.
You stretch luxuriously, sinking into a deep nap. You dream of birds that never fly away and fish that jump straight into your paws.
You are now seen as ""disloyal,"" but honestly, who cares? You’re a cat. And you do what you want.
","You choose to do nothing. The humans fight amongst themselves, and the kingdom falls apart, but you? You nap. You find a sunny spot, curl up, and let the world crumble around you.
The other cats know you could have done something, but, honestly, you’ve got better things to do. Like sleeping.
",BRIDGE_AND_CONTINUE
"You are about to challenge a man to a dule.
","This was the man that killed your brother. That man... He killed your family but not you...Why?
","Yum your stomack thanks you. All that information can make you hungry...
",NEEDS_INPUT
"I know we just met, but can we be best friends? ദ്ദി(˵ •̀ ᴗ - ˵ ) ✧
 Oh great!! I am so happy... that means you will help me mummify my hamster. He just passed away 2 days ago. Oh... don't look sad... he's going to be totally fine. We will send him off to the afterlife with all the things he needs. I know exactly what we will do!! Come on!! 𖡼𖤣𖥧𖡼𓋼𖤣𖥧𓋼𓍊
 Okay. The first thing we have to do is wash Poptart in wine and in the waters of the Nile. Ofcourse, the Nile is a million miles away, so sink water will do. I'm not sure what to do next... Haha... If we get this wrong, Poptart might not make it into the afterlife. HELP!
 Are you sure? Okay... I dont think I can do this part. Can you do it?? All you have to do is take out his liver, lungs, intestines and stomach. Then, I'll clean them and put them in these mason jars. I know we are supposed to use canopic jars, but they didnt sell them at target... i think the gods will understand. Oh, we can't forget to put the heart back in - its special.
 Are you sure? Okay... lets dip Poptarts body in a salt called natron. This will get rid of all the liquids and hopefully he won't smell so bad. Yikes.
","Seems like it takes 40 days to dry him out. I'll plot him out in the sun... 𐔌՞꜆. ̫.꜀՞𐦯
","Let's check with the teacher to see if we mummified him correctly The teacher asks: What order did you do it in? The correct order: jar, salt, dry, wrap, coffin. It must be in this exact order. We can not ensure that his soul will travel safely without these specific measures.
",NEEDS_INPUT
" You leave your mother, who is grinding the wheat to make bread. Your dad and brother are planting seeds, and starting to work on an irrigation system. When you go to ask your neighbor, they tell you that the water that they have is too little to share. They apologize but now you have to walk the long distance to the Nile.
 When you reach the Nile, you discover that all the water has gone murky and there is no clean water for your farm! To add to that, all the fish are dead, and that is an important source of food for you and the other farmers!
 You start your journey and start scouting the Nile. Pretty soon, you see people carrying large buckets of water to a house.
 You soon come to the house that has loads of water! You are happy! But, the owner of the house looks like an old man.
","You march up to the old man and tell him to give you water. He looks at you and gives you the silent treatment. You start to feel awkward.
","You march up to the old man and tell him to give you water. He looks at you and gives you the silent treatment. You start to feel awkward.
",NEEDS_INPUT
"You are Osiris, god of the afterlife, and you need to judge people to see if they are worthy of going to the afterlife. It is the start of a normal day of judging, as the first mortal approaches
 A farmer comes. He has brown hair that makes him look like a hippie. He took care of his family and gave many generous donations to other people in Egypt. He got his money by theft, but he only stole from the rich people, they had plenty of riches to go around!
","An ugly person approaches, she is quite innocent, and raised a family in egypt. She worked for the pharoh himself, but once droped his food in salt and blamed it on somebody else. It wasn't her fault, if she got fired her family could starve!
","oof... You are shamed forever. NEVER. INCINERATE. SOMEBODYS. DONUT!!!
",BRIDGE_AND_CONTINUE
"""Welcome, Abasi farmer, father, and stealer!"" a strange voice booms. ""I am Anubis. I will guide you to us. If you are worthy, you will pass these three tests and be granted into the Field of Reeds and a life in paradise, but if you fail, you will spend your afterlife in doom!"" You frantically open your eyes and stand up. You see three gems with animals on them, and then you see words that read...What meat did Egyptians consume?
 ""You may continue...""
Which illness in ancient Egypt was most common?
","you have passed the first two tests. You move passed a sandy gate,than you see lava in front of you there is no way across. you look up to see a black book in floating toward you it drops in your hand. The book is coverd in hieroglyphics and locked. You know just by looking at it this is the ancient egyptian book of the dead. Just than you see another riddle that says... ancient egyptian pyrimds are
","Stepping stones appear, and you step across with the book in hand. All of a sudden, the lock opens. You open the book and find hieroglyphics that instruct you on how to speak to different gods. ""It will come to be a great help now that you have completed all the challenges,"" then a door opens.
",DIRECT_CONTINUE
"You have been sent to a secret workshop once belonging to Leonardo da Vinci himself, hidden deep in the hills of Florence. The workshop was believed to hold lost designs and inventions of great value. However, rival factions and secret guardians lurk in the shadows, protecting the secrets. Your mission: Retrieve the precious sketches and escape.
","You arrive at the ancient workshop where dust-filled chambers and broken automata lie in ruin. Suddenly, a noise echoes in the hallway. In panic, you search for a means of defense. You find a chest containing a crossbow, a smoke bomb, and a net launcher. Which do you choose?
","What do you ask the scholar?
",NEEDS_INPUT
"The Pharaoh, aka My Human, returns from battle smelling like sweat and horse. Gross. You sit there, licking your paw, pretending not to notice their triumphant return, because honestly, what's the big deal? You’ve seen birds fight more impressively in the courtyard.
Your Human calls out your name, expecting you to rush over like some common dog. Pfft. They should know better. You are royalty, after all. A divine creature worshipped by many. And yet, they haven’t refilled your water bowl today. Priorities, humans.
 Ah, yes. The good life. My Human finally scratches behind your ears, and, though you pretend it’s not a big deal, a purr slips out before you can stop it. You may be the ruler of the palace in your own mind, but you know how to play the game. They scratch your ears, you purr. You purr, they feed you. It’s a flawless system.
“Such a loyal cat,” your Human says, clearly not realizing that your loyalty is for sale at the price of the next fishy treat. But for now, you’ll play along. After all, lounging on silk cushions and nibbling on leftovers from the royal banquet is not the worst life.
You are now seen as loyal, but only because, well, free snacks.
","The famine continues, and your luxurious meals have been reduced to pitiful scraps. Unacceptable. You begin to whisper—well, more like yowl—to the other palace cats about how My Human has failed you. They used to offer fish and warm laps, but now? Beetles and indifference! It’s an outrage!
The other cats gather around you, nodding in agreement, their eyes narrowed in frustration. You, of course, are the most important cat in the palace, so naturally, they look to you for leadership. It's time to consider... rebellion.
The humans are clearly incompetent, and the time has come for cats to take back what’s rightfully theirs: fish, mice, and the softest pillows in the kingdom.
","You choose to do nothing. The humans fight amongst themselves, and the kingdom falls apart, but you? You nap. You find a sunny spot, curl up, and let the world crumble around you.
The other cats know you could have done something, but, honestly, you’ve got better things to do. Like sleeping.
",DIRECT_CONTINUE
"You are a kindhearted person who’s only dream is to make peace across Egypt. You have entered a strange and unfamiliar place, and you hold your kind heart close to you like a steel shield.You have died from old age, and don’t remember much…. One thing that you do remember is if you read the Book of the Dead or not. So, did you…?
 Memories flood your brain again, and you feel ready for whatever is coming your way! A few minutes later, you see a group of souls heading towards a river, will you follow them or wander?
 You greet the souls, and even make a few friends! You walk into a small, cozy cottage with a smooth fluffy carpet. You finally feel at home. A little later the souls ask you if you want to wait for the sun god to give them light, or if they should go now.
","Time to go play black jack
You go over to the Blackjack table and sit down. How much will you bet?
","As Anubis weighs your heart, you think about reciting a spell from your heart scarab amulet, just to be safe.
",INVALID_USER_INPUT
